"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS."
"PHO",2007,2,"Steve Nash",32,44,1013,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,2,61,21,23.8,0.654
"LAL",2007,3,"Kobe Bryant",28,2,521,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199,7,42,40,26.1,0.58
"SAS",2007,4,"Tim Duncan",30,0,286,1290,0.222,80,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23,3,58,24,26.1,0.579
"CLE",2007,5,"LeBron James",22,0,183,1290,0.142,78,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206,2,50,32,24.5,0.552
"HOU",2007,6,"Tracy McGrady",27,0,110,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,5,52,30,23.2,0.515
"TOR",2007,7,"Chris Bosh",22,0,43,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,3,47,35,22.6,0.577
"WAS",2007,8,"Gilbert Arenas",25,0,31,1290,0.024,74,39.8,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,10.8,0.177,7,41,41,24,0.565
"MIN",2007,9,"Kevin Garnett",30,0,7,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,13,32,50,24.1,0.546
"UTA",2007,9,"Carlos Boozer",25,0,7,1290,0.005,74,34.6,20.9,11.7,3,0.9,0.3,0.561,NA,0.685,9.9,0.185,4,51,31,24.1,0.588
"LAL",2008,1,"Kobe Bryant",29,82,1100,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,1,57,25,24.2,0.576
"SAS",2008,10,"Manu Ginóbili",30,0,9,1260,0.007,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,3,56,26,24.3,0.612
"DAL",2008,11,"Dirk Nowitzki",29,0,5,1260,0.004,77,36,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223,7,51,31,24.6,0.585
"UTA",2008,12,"Deron Williams",23,0,4,1260,0.003,82,37.3,18.8,3,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177,4,54,28,20.8,0.595
"DEN",2008,13,"Carmelo Anthony",23,0,3,1260,0.002,77,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14,8,50,32,21.1,0.568
"BOS",2008,14,"Paul Pierce",30,0,1,1260,0.001,80,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207,1,66,16,19.6,0.599
"DET",2008,14,"Rasheed Wallace",33,0,1,1260,0.001,77,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155,2,59,23,17.2,0.523
"UTA",2008,14,"Carlos Boozer",26,0,1,1260,0.001,81,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0,0.738,10.2,0.173,4,54,28,21.9,0.581
"WAS",2008,14,"Antawn Jamison",31,0,1,1260,0.001,79,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144,5,43,39,20.3,0.525
"NOH",2008,2,"Chris Paul",22,28,894,1260,0.71,80,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,2,56,26,28.3,0.576
"BOS",2008,3,"Kevin Garnett",31,15,670,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265,1,66,16,25.3,0.588
"CLE",2008,4,"LeBron James",23,1,438,1260,0.348,75,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,4,45,37,29.1,0.568
"ORL",2008,5,"Dwight Howard",22,0,60,1260,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2,3,52,30,22.9,0.619
"PHO",2008,6,"Amar'e Stoudemire",25,0,27,1260,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,6,55,27,27.6,0.656
"SAS",2008,7,"Tim Duncan",31,0,25,1260,0.02,78,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201,3,56,26,24.4,0.546
"HOU",2008,8,"Tracy McGrady",28,0,19,1260,0.015,66,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115,5,55,27,18.4,0.487
"PHO",2008,9,"Steve Nash",33,0,18,1260,0.014,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,6,55,27,21.1,0.641
"CLE",2009,1,"LeBron James",24,109,1172,1210,0.969,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,1,66,16,31.7,0.591
"DAL",2009,10,"Dirk Nowitzki",30,0,3,1210,0.002,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,6,50,32,23.1,0.564
"SAS",2009,11,"Tim Duncan",32,0,2,1210,0.002,75,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0,0.692,10.1,0.191,3,54,28,24.4,0.549
"HOU",2009,12,"Yao Ming",28,0,1,1210,0.001,77,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,10.6,0.196,5,53,29,22.7,0.618
"LAL",2009,2,"Kobe Bryant",30,2,698,1210,0.577,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,1,65,17,24.4,0.561
"MIA",2009,3,"Dwyane Wade",27,7,680,1210,0.562,79,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,5,43,39,30.4,0.574
"ORL",2009,4,"Dwight Howard",23,1,328,1210,0.271,79,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234,3,59,23,25.4,0.6
"NOH",2009,5,"Chris Paul",23,2,192,1210,0.159,78,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292,7,49,33,30,0.599
